"STATION","NAME","DATE","AWND","DAPR","DASF","MDPR","MDSF","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT18","WT19","WT22"
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-09-26",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-09-27",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-09-28",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-09-29",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-09-30",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-10-01",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-10-02",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-10-03",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-10-04",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-10-07",,"    3",,"0.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-10-08",,,,,,,"0.44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-10-09",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
